filter,filename,mean,std,median,resistant_mean,resistant_std,resistant_std_of_mean,sigma_clipped_mean,sigma_clipped_std,n_pixels,bg_fraction
VIS,galaxy_and_stream_convolved_6_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023094,0.001256,0.023041,0.023092,0.001252,0.000002,0.023072,0.001201,341104,0.947511
VIS,galaxy_and_stream_convolved_7_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024541,0.001594,0.024465,0.024539,0.001587,0.000003,0.024524,0.001524,276899,0.769164
VIS,galaxy_and_stream_convolved_5_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022932,0.001519,0.022880,0.022930,0.001365,0.000002,0.022904,0.001300,343816,0.955044
VIS,galaxy_and_stream_convolved_1_0.1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023974,0.001368,0.023914,0.023973,0.001365,0.000002,0.023954,0.001322,309198,0.858883
VIS,galaxy_and_stream_convolved_6_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023198,0.001281,0.023138,0.023197,0.001278,0.000002,0.023176,0.001227,327450,0.909583
VIS,galaxy_and_stream_convolved_9_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023106,0.001147,0.023066,0.023105,0.001143,0.000002,0.023092,0.001107,327956,0.910989
VIS,galaxy_and_stream_convolved_1_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023861,0.001344,0.023809,0.023860,0.001341,0.000002,0.023842,0.001298,318560,0.884889
VIS,galaxy_and_stream_convolved_2_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023882,0.001270,0.023832,0.023881,0.001266,0.000002,0.023863,0.001215,339497,0.943047
VIS,galaxy_and_stream_convolved_3_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023395,0.001440,0.023345,0.023392,0.001427,0.000002,0.023373,0.001360,339511,0.943086
VIS,galaxy_and_stream_convolved_5_0.1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023527,0.001616,0.023464,0.023527,0.001450,0.000003,0.023506,0.001398,289622,0.804506
VIS,galaxy_and_stream_convolved_9_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022986,0.001118,0.022950,0.022985,0.001114,0.000002,0.022972,0.001076,338485,0.940236
VIS,galaxy_and_stream_convolved_4_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022971,0.001664,0.022918,0.022965,0.001644,0.000003,0.022942,0.001548,341752,0.949311
VIS,galaxy_and_stream_convolved_5_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024036,0.001691,0.023966,0.024036,0.001512,0.000003,0.024017,0.001465,255179,0.708831
VIS,galaxy_and_stream_convolved_2_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024094,0.001301,0.024035,0.024092,0.001297,0.000002,0.024075,0.001250,318714,0.885317
VIS,galaxy_and_stream_convolved_10_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023027,0.001180,0.022989,0.023026,0.001177,0.000002,0.023010,0.001132,334100,0.928056
VIS,galaxy_and_stream_convolved_1_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023671,0.001308,0.023629,0.023670,0.001304,0.000002,0.023653,0.001259,335041,0.930669
VIS,galaxy_and_stream_convolved_10_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022974,0.001170,0.022939,0.022972,0.001166,0.000002,0.022957,0.001120,340891,0.946919
VIS,galaxy_and_stream_convolved_9_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022965,0.001110,0.022931,0.022964,0.001106,0.000002,0.022951,0.001069,340421,0.945614
VIS,galaxy_and_stream_convolved_4_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023056,0.001685,0.022994,0.023050,0.001665,0.000003,0.023025,0.001569,333222,0.925617
VIS,galaxy_and_stream_convolved_3_0.1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023450,0.001458,0.023398,0.023448,0.001447,0.000003,0.023429,0.001380,320461,0.890169
NISP_H,galaxy_and_stream_convolved_6_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.504700,5.249354,63.128635,63.487137,5.089318,0.026856,63.353378,4.831768,35949,0.898725
NISP_H,galaxy_and_stream_convolved_10_0.6_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.736279,4.426459,63.414597,63.694832,4.223409,0.021972,63.596706,4.028250,36999,0.924975
NISP_H,galaxy_and_stream_convolved_1_0.25_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,66.735245,6.627568,66.318054,66.731941,5.638576,0.030295,66.590263,5.350029,34687,0.867175
NISP_H,galaxy_and_stream_convolved_5_0.1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,66.924919,5.693339,66.460670,66.885567,5.491044,0.030665,66.753151,5.219251,32095,0.802375
NISP_H,galaxy_and_stream_convolved_6_0.25_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.750175,5.345651,63.364502,63.726955,5.151457,0.027381,63.593723,4.894343,35435,0.885875
NISP_H,galaxy_and_stream_convolved_9_0.2_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.069511,4.965580,63.671352,64.035835,4.844903,0.025488,63.901653,4.598816,36171,0.904275
NISP_H,galaxy_and_stream_convolved_2_0.25_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.649513,4.113243,64.346054,64.626953,4.030026,0.021157,64.524216,3.837015,36314,0.907850
NISP_H,galaxy_and_stream_convolved_5_0.25_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.674751,5.422648,65.258713,65.633385,5.179470,0.028083,65.520897,4.932613,34052,0.851300
NISP_H,galaxy_and_stream_convolved_9_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.722065,4.854271,63.343517,63.694298,4.761055,0.024815,63.563515,4.516873,36844,0.921100
NISP_H,galaxy_and_stream_convolved_1_0.6_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,66.434387,6.572412,66.029251,66.429085,5.577684,0.029679,66.291527,5.294816,35366,0.884150
NISP_H,galaxy_and_stream_convolved_5_0.2_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.909157,5.494642,65.481674,65.867615,5.250917,0.028638,65.739830,4.983024,33654,0.841350
NISP_H,galaxy_and_stream_convolved_1_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,66.377632,6.564947,65.968872,66.372490,5.576052,0.029581,66.237396,5.294411,35580,0.889500
NISP_H,galaxy_and_stream_convolved_7_1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.647446,4.346856,65.315971,65.613739,4.215613,0.022959,65.507164,4.023223,33752,0.843800
NISP_H,galaxy_and_stream_convolved_9_0.4_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.861691,4.908474,63.481262,63.830963,4.801703,0.025126,63.694855,4.547423,36558,0.913950
NISP_H,galaxy_and_stream_convolved_9_0.1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.407341,5.060603,64.005287,64.372902,4.934950,0.026127,64.227829,4.670492,35713,0.892825
NISP_H,galaxy_and_stream_convolved_7_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.701187,4.354189,65.370132,65.668884,4.227705,0.023052,65.562866,4.035827,33672,0.841800
NISP_H,galaxy_and_stream_convolved_9_0.25_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.991035,4.946220,63.606457,63.956776,4.823589,0.025328,63.825142,4.580094,36309,0.907725
NISP_H,galaxy_and_stream_convolved_10_0.1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.662590,4.672863,64.300987,64.623749,4.483444,0.023791,64.518799,4.284815,35559,0.888975
NISP_H,galaxy_and_stream_convolved_5_0.05_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,68.494263,6.131629,67.937195,68.440971,5.842019,0.033950,68.306282,5.573924,29647,0.741175
NISP_H,galaxy_and_stream_convolved_4_0.05_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.615150,5.953805,65.117241,65.546555,5.499450,0.030632,65.409592,5.228714,32297,0.807425
NISP_H,galaxy_and_stream_convolved_5_0.6_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.088188,5.266398,64.713615,65.045326,5.016776,0.026768,64.935043,4.775058,35165,0.879125
NISP_H,galaxy_and_stream_convolved_9_0.6_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.778111,4.889901,63.397305,63.746185,4.779821,0.024949,63.612762,4.530318,36741,0.918525
NISP_H,galaxy_and_stream_convolved_8_0.2_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.098225,4.833063,62.754230,63.086948,4.795902,0.025244,62.968491,4.568023,36106,0.902650
NISP_H,galaxy_and_stream_convolved_1_0.15_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,67.063408,6.723112,66.625008,67.058098,5.730276,0.030999,66.911919,5.443787,34217,0.855425
NISP_H,galaxy_and_stream_convolved_4_0.1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.987839,5.808465,64.514557,64.924232,5.369284,0.029311,64.786911,5.093157,33617,0.840425
NISP_H,galaxy_and_stream_convolved_6_0.1_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.135391,5.439875,63.735458,64.110588,5.240581,0.028198,63.984371,4.995796,34581,0.864525
NISP_H,galaxy_and_stream_convolved_7_0.05_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,67.443565,4.857687,66.995789,67.413567,4.745411,0.027692,67.303436,4.556564,29394,0.734850
NISP_H,galaxy_and_stream_convolved_5_0.4_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,65.301102,5.322371,64.920349,65.262062,5.083008,0.027301,65.138741,4.819724,34698,0.867450
NISP_H,galaxy_and_stream_convolved_1_0.05_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,68.255074,7.406851,67.721931,68.229774,6.066411,0.034352,68.090263,5.793530,31231,0.780775
NISP_H,galaxy_and_stream_convolved_9_0.15_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.195786,5.011295,63.793056,64.159477,4.879742,0.025732,64.019035,4.624603,36001,0.900025
NISP_H,galaxy_and_stream_convolved_3_0.8_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,63.441570,3.953618,63.194397,63.421169,3.890813,0.020288,63.319103,3.700178,36813,0.920325
NISP_H,galaxy_and_stream_convolved_6_0.05_NISP_H_in_EUC_NIR_H_LSB_ObsID_2706,64.719597,5.587871,64.301125,64.698700,5.401069,0.029458,64.564255,5.145624,33651,0.841275
